name,address,email,phone_number,banking_account
Random House (NY),1 State Route 27,yuki_whobrey@aol.com,313-341-4470,311699011409782      
Headline Review,394 Manchester Blvd,fletcher.flosi@yahoo.com,815-426-5657,794486060891523      
Trafford Publishing,6 S 33rd St,bette_nicka@cox.net,610-492-4643,101936604936778      
Atlantic,6 Greenleaf Ave,vinouye@aol.com,408-813-4592,111607369467883      
Atlantic Books,618 W Yakima Ave,willard@hotmail.com,972-896-4882,423374450949848      
Geddes & Grosset,74 S Westgate St,mroyster@royster.com,518-448-8982,245752436322269      
Picador  Macmillan Publishers Ltd,3273 State St,alisha@slusarski.com,732-635-3453,948483860686593      
Edebé,1 Central Ave,allene_iturbide@cox.net,715-530-9863,516374793466194      
AHA! Process,86 Nw 66th St #8673,chanel.caudy@caudy.org,913-899-1103,259077885886059      
Phoenix,2 Cedar Ave #84,ezekiel@chui.com,410-235-8738,618853695709480      
Manning Publications,90991 Thorburn Ave,wkusko@yahoo.com,212-934-5167,741174212956556      
Penguin Group,386 9th Ave N,bfigeroa@aol.com,936-597-3614,718433815241137      
Cold Spring Harbor Laboratory Press,74874 Atlantic Ave,ammie@corrio.com,614-648-3265,978204460100681      
Rivages,366 South Dr,francine_vocelka@vocelka.com,505-335-5293,152376124657412      
Atheneum/Richard Jackson Books,45 E Liberty St,ernie_stenseth@aol.com,201-387-9093,159748602418543      
Kiepenheuer & Witsch,4 Ralph Ct,albina@glick.com,732-782-6701,532117866746707      
Algonquin Books,2742 Distribution Way,asergi@gmail.com,212-753-2740,372317171292779      
Scribner Classics,426 Wolf St,solange@shinko.com,504-265-8174,253623349261451      
Pineapple Press,128 Bransten Rd,jose@yahoo.com,212-569-4233,444946093849513      
Black Swan,17 Morena Blvd,rozella.ostrosky@ostrosky.com,805-609-1531,885501807669501      
University of South Carolina Press,775 W 17th St,valentine_gillian@gmail.com,210-300-6244,500845752250740      
Minnesota Historical Society Press,6980 Dorsett Rd,kati.rulapaugh@hotmail.com,785-219-7724,516929634326601      
Penguin Global,2881 Lewis Rd,youlanda@aol.com,541-993-2611,594628477021231      
Audio Partners,7219 Woodfield Rd,doldroyd@aol.com,913-645-8918,323869337969976      
Warner Vision,1048 Main St,roxane@hotmail.com,907-335-6568,463853620021533      
St. Martins Press-3PL,678 3rd Ave,lperin@perin.org,305-995-2078,140407428378682      
Tougher Disguises,20 S Babcock St,erick.ferencz@aol.com,907-227-6777,670387361749463      
Zeta Bolsillo,2 Lighthouse Ave,fsaylors@saylors.org,952-479-2375,305263640842663      
HarperCollins UK,38938 Park Blvd,jina_briddick@briddick.com,617-997-5771,776729370762160      
Pelican Publishing,5 Tomahawk Dr,kanisha_waycott@yahoo.com,323-315-7314,564994861608022      
Douglas  McIntyre,762 S Main St,emerson.bowley@bowley.org,608-658-7940,934859844575497      
Running Press,209 Decker Dr,bmalet@yahoo.com,215-794-4519,349236492941483      
Time-Life Books  Inc.,4486 W O St #1,bbolognia@yahoo.com,212-617-5063,714410299217657      
Walker Books,39 S 7th St,lnestle@hotmail.com,931-303-6041,394482076732190      
Children's Press(CT),98839 Hawthorne Blvd #6101,sabra@uyetake.org,803-681-3678,821521370351417      
Collection of Historical Scientific Instruments,71 San Mateo Ave,mmastella@mastella.com,610-379-7125,624044271554691      
Harper Perennial (NYC),76 Brooks St #9,karl_klonowski@yahoo.com,908-470-4661,145737076925243      
Silhouette Desire,4545 Courthouse Rd,twenner@aol.com,516-333-4861,602447031046106      
Johnson Publishing Company (IL),14288 Foster Ave #4121,amber_monarrez@monarrez.org,215-329-6386,638874179140236      
Viking Children's Books,4 Otis St,shenika@gmail.com,818-749-8650,817434395783663      
Microsoft Press,65895 S 16th St,delmy.ahle@hotmail.com,401-559-8961,885268933330215      
Galahad Books,14302 Pennsylvania Ave,deeanna_juhas@gmail.com,215-417-9563,352415255539470      
Vermilion,201 Hawk Ct,bpugh@aol.com,401-300-8122,474910263301762      
Harvard Business Review Press,53075 Sw 152nd Ter #615,jamal@vanausdal.org,732-904-2931,846491711736461      
Green Integer,59 N Groesbeck Hwy,cecily@hollack.org,512-861-3814,414143361505556      
Wildside Press,2664 Lewis Rd,carmelina_lindall@lindall.com,303-874-5160,978893037888560      
Collectors Library,59 Shady Ln #53,maurine_yglesias@yglesias.com,414-573-7719,658661425600640      
Hovel Audio,3305 Nabell Ave #679,tawna@gmail.com,212-462-9157,608692476835264      
Material World,18 Fountain St,penney_weight@aol.com,907-873-2882,811516011398570      
Philomel Books,7 W 32nd St,elly_morocco@gmail.com,814-420-3553,666328796140089      
Child's Play International,2853 S Central Expy,ilene.eroman@hotmail.com,410-937-4543,685451014960534      
Paulist Press,74 W College St,vmondella@mondella.com,208-737-8439,814724573562423      
Chelsea House Publications,701 S Harrison Rd,kallie.blackwood@gmail.com,415-604-7609,488571441292343      
Dial Press Trade Paperback,1088 Pinehurst St,johnetta_abdallah@aol.com,919-715-3791,939856738460014      
Berkley,30 W 80th St #1995,brhym@rhym.com,650-811-9032,785296128348199      
Chalice Press,20932 Hedley St,micaela_rhymes@gmail.com,925-522-7798,368472208447783      
Belknap Press of Harvard University Press,2737 Pistorio Rd #9230,tamar@hotmail.com,740-526-5410,376572280992558      
Wizards of the Coast,74989 Brandon St,moon@yahoo.com,585-498-4278,694876729368053      
MacMillan General Books,6 Kains Ave,laurel_reitler@reitler.com,410-957-6903,804752238441504      
Norma,47565 W Grand Ave,delisa.crupi@crupi.com,973-847-9611,243302487869891      
MacMillan Audio,4284 Dorigo Ln,viva.toelkes@gmail.com,773-352-3437,162897804989482      
Anchor Canada,6794 Lake Dr E,elza@yahoo.com,973-796-3667,575537383256541      
Heinemann Library,31 Douglas Blvd #950,devorah@hotmail.com,505-950-1763,509050452962293      
Barron's Educational Series,44 W 4th St,timothy_mulqueen@mulqueen.org,718-654-7063,527403487353807      
HarperPerennial / Perennial Classics,11279 Loytan St,ahoneywell@honeywell.com,904-514-9918,269111805562282      
Harper Perennial Classics,69 Marquette Ave,dominque.dickerson@dickerson.org,510-901-7640,993021326802799      
The Crossroad Publishing Company,70 W Main St,lettie_isenhower@yahoo.com,216-733-8494,899329021641984      
Park Street Press,461 Prospect Pl #316,mmunns@cox.net,817-451-3518,691607222247109      
Dalkey Archive Press,47154 Whipple Ave Nw,stephaine@barfield.com,310-968-1219,302334701149034      
Ivan R. Dee Publisher,37 Alabama Ave,lai.gato@gato.org,847-957-4614,839966057348822      
Delta Publishing,3777 E Richmond St #900,stephen_emigh@hotmail.com,330-700-2312,607349271799476      
Plume (Penguin Books Ltd),3 Fort Worth Ave,tshields@gmail.com,215-228-8264,526267344217137      
Cartwheel,4800 Black Horse Pike,twardrip@cox.net,650-216-5075,763233576128097      
De Boekerij,83649 W Belmont Ave,cory.gibes@gmail.com,626-696-2777,743617671971259      
Random House: Modern Library,840 15th Ave,danica_bruschke@gmail.com,254-205-1422,472374005613579      
Gemstone Publishing,1747 Calle Amanecer #2,wilda@cox.net,907-914-9482,507681206540709      
Golden Books,99385 Charity St #840,elvera.benimadho@cox.net,408-440-8447,800453798710878      
Running Press Kids,68556 Central Hwy,carma@cox.net,510-452-4835,636106909602541      
Pearson Longman,55 Riverside Ave,malinda.hochard@yahoo.com,317-472-2412,456553921108427      
Island,7140 University Ave,natalie.fern@hotmail.com,307-279-3793,720125444551888      
Addison Wesley Publishing Company,64 5th Ave #1153,lisha@centini.org,703-475-7568,608586997777752      
Puffin Books,3 Secor Rd,arlene_klusman@gmail.com,504-946-1807,473979885888086      
Time Warner Paperbacks,4 Webbs Chapel Rd,alease@buemi.com,303-521-9860,636134679429816      
Firelight Press,524 Louisiana Ave Nw,louisa@cronauer.com,510-472-7758,140749750842361      
Baen Books,185 Blackstone Bldge,angella.cetta@hotmail.com,808-475-2310,871880246774991      
William Morrow & Company  Inc.,170 Wyoming Ave,cgoldammer@cox.net,952-938-9457,301230893676951      
Bastei Lübbe,4 10th St W,rosio.cork@gmail.com,336-497-4407,232091791729344      
Hodder & Stoughton Ltd,7 W Pinhook Rd,ckorando@hotmail.com,516-365-7266,100463420082204      
Delacorte Books,1 Commerce Way,twana.felger@felger.org,503-909-7167,410517932898177      
1st World Library,64 Lakeview Ave,estrella@aol.com,608-942-8836,563497605002993      
Touchstone Books,3 Aspen St,dkines@hotmail.com,508-843-1426,258400147457073      
University of Georgia Press,32860 Sierra Rd,tiffiny_steffensmeier@cox.net,305-304-6573,157865469953815      
French & European Publications,555 Main St,emiceli@miceli.org,814-299-2877,227731227596068      
Omohundro Institute and University of North Carolina Press,2 Se 3rd Ave,sue@aol.com,972-742-4000,751896321522972      
Jane Nissen Books,2239 Shawnee Mission Pky,jshin@shin.com,931-739-1551,244625109555368      
Everyman Paperback Classics,2726 Charcot Ave,rolland@cox.net,973-284-4048,822016655260050      
Orbis Books,5161 Dorsett Rd,pamella.schmierer@schmierer.org,305-575-8481,287726238901497      
Flamingo,55892 Jacksonville Rd,gkulzer@kulzer.org,410-916-8015,732534139122239      
University of Washington Press,5 N Cleveland Massillon Rd,shawna_palaspas@palaspas.org,805-638-6617,636836343460557      
Bradford Book,7 Benton Dr,brandon_callaro@hotmail.com,808-240-5168,327529154974586      
W.W. Norton & Company (NYC),9390 S Howell Ave,scarlet.cartan@yahoo.com,229-365-9658,296445520658903      
St. Martin's Minotaur,8 County Center Dr #647,oretha_menter@yahoo.com,617-697-6024,174958379695265      
Vertigo,4646 Kaahumanu St,tsmith@aol.com,201-995-3149,774858676880088      
Contemporary French Fiction,2 Monroe St,xuan@gmail.com,650-247-2625,568758909136218      
Penguin Books  Limited (UK),52777 Leaders Heights Rd,lindsey.dilello@hotmail.com,909-589-1693,770367487200930      
Titan Books,72868 Blackington Ave,devora_perez@perez.org,510-755-9274,143951552372740      
Abraham Guillen Press,9 Norristown Rd,hdemesa@cox.net,518-931-7852,954546207707663      
Apress,83 County Road 437 #8581,rpapasergi@cox.net,570-469-8401,340259547343358      
Palgrave Macmillan,1 N Harlem Ave #9,talia_riopelle@aol.com,973-818-9788,738534216681867      
DAW Hardcover,90131 J St,van.shire@shire.com,908-448-1209,472566604810527      
Disney Press,8597 W National Ave,lucina_lary@cox.net,321-632-4668,108007181260600      
Broadview Press Inc,6 Gilson St,bok.isaacs@aol.com,718-478-8568,921061006426442      
City Lights Publishers,65 W Maple Ave,rolande.spickerman@spickerman.com,808-526-5863,216132306138009      
Miramax Books,866 34th Ave,hpaulas@gmail.com,303-692-3118,945717704757443      
Peter Owen Ltd,798 Lund Farm Way,kimbery_madarang@cox.net,973-225-6259,488406307868112      
Maxima New Media,9387 Charcot Ave,thurman.manno@yahoo.com,609-234-8376,474591523895555      
St. Martin's Paperbacks,30553 Washington Rd,becky.mirafuentes@mirafuentes.com,908-426-8272,477195150216174      
Little  Brown Books for Young Readers,481 W Lemon St,beatriz@yahoo.com,508-315-3867,166218192636418      
Margaret K. McElderry Books,4 Warehouse Point Rd #7,marti.maybury@yahoo.com,773-539-1058,860063642088059      
The New York Review Children's Collection,4940 Pulaski Park Dr,nieves_gotter@gmail.com,503-455-3094,421991185430535      
皇冠文化出版有限公司,627 Walford Ave,lhagele@cox.net,214-225-5850,408860457259437      
Oberlin College Press,137 Pioneer Way,vklimek@klimek.org,312-512-2338,406749764945421      
Random House Children's Books,61 13 Stoneridge #835,melissa@cox.net,419-254-4591,995140024016582      
North Star Publications (MA),2409 Alabama Rd,sheridan.zane@zane.com,951-248-6822,802003157331219      
Simon Publications,8927 Vandever Ave,bulah_padilla@hotmail.com,254-816-8417,325917771499831      
Chatto & Windus,134 Lewis Rd,audra@kohnert.com,615-448-9249,320132043151770      
Le Livre de Poche,9 N College Ave #3,dweirather@aol.com,414-838-3151,926182118884994      
Barbour Books,60480 Old Us Highway 51,fjillson@aol.com,410-724-6472,460345668570170      
Harvest House Publishers,4 Bloomfield Ave,gearldine_gellinger@gellinger.com,972-821-7118,335093078310867      
Vision Forum,429 Tiger Ln,chau@gmail.com,310-969-7230,944549464260636      
Penguin Group(CA),54169 N Main St,theola_frey@frey.com,516-357-3362,140387934111989      
Abacus,92 Main St,cheryl@haroldson.org,609-263-9243,860638105411941      
Steerforth,72 Mannix Dr,lmerced@gmail.com,513-418-1566,497964904934250      
Steerforth Press,12270 Caton Center Dr,carissa.batman@yahoo.com,541-801-5717,764061833166055      
Rick Steves,749 W 18th St #45,lezlie.craghead@craghead.org,919-885-2453,318557143268119      
Harper Trophy,8 Industry Ln,oshealy@hotmail.com,212-880-8865,431308888526666      
City Lights,1 Huntwood Ave,arminda@parvis.com,602-277-3025,829914952466594      
America's Test Kitchen,55262 N French Rd,reita.leto@gmail.com,317-787-5514,239091415203406      
Vintage Books,422 E 21st St,yolando@cox.net,315-640-6357,967490138908191      
Books on Tape,501 N 19th Ave,lizette.stem@aol.com,856-702-3676,572572780471933      
Paul Dry Books,455 N Main Ave,gpawlowicz@yahoo.com,516-376-4230,632172126627231      
Focus,1844 Southern Blvd,cdeleo@deleo.com,501-409-6072,679562947613962      
Doubleday Publishing (NY),2023 Greg St,chantell@yahoo.com,651-776-9688,613261236855588      
Hay House,63381 Jenks Ave,dyum@yahoo.com,215-346-4666,725941155179966      
Penguin Books /Penguin Classics,6651 Municipal Rd,larae_gudroe@gmail.com,985-261-5783,879244669132078      
Chronicle Books,81 Norris Ave #525,latrice.tolfree@hotmail.com,631-998-2102,747236347990626      
Regnery History,6916 W Main St,kerry.theodorov@gmail.com,916-770-7448,458810035409544      
Applewood Books,9635 S Main St,dhidvegi@yahoo.com,208-690-3315,283706079173911      
Providence Forum Press,17 Us Highway 111,fannie.lungren@yahoo.com,512-528-9933,326870043026544      
Faber & Faber,992 Civic Center Dr,evangelina@aol.com,215-417-5612,557520949712360      
Putnam Adult,303 N Radcliffe St,novella_degroot@degroot.org,808-746-1865,451029772917308      
G. P. Putnam's Sons,73 Saint Ann St #86,choa@hoa.org,775-848-9135,576291719155194      
Smithmark Publishers,44 58th St,jfallick@yahoo.com,847-800-3054,739313408112364      
Steidl,9745 W Main St,irma.wolfgramm@hotmail.com,973-868-8660,450153126158911      
HarperSanFrancisco,84 Bloomfield Ave,eun@yahoo.com,864-594-4578,477395025715725      
Gibbs Smith,287 Youngstown Warren Rd,sylvia_cousey@cousey.org,410-863-8263,325300117308291      
Fount,6 Van Buren St,nana@aol.com,914-796-3775,872363587191037      
Tyndale House Publishers,229 N Forty Driv,layla.springe@cox.net,212-253-7448,991030008451714      
Whitaker House,2887 Knowlton St #5435,joesph_degonia@degonia.org,510-942-5916,255263215142745      
Knopf Books for Young Readers,523 Marquette Ave,annabelle.boord@cox.net,978-289-7717,363669654928943      
Penguin (Non-Classics),3717 Hamann Industrial Pky,stephaine@cox.net,415-712-9530,779531539741827      
New World Library,3 State Route 35 S,nelida@gmail.com,201-247-8925,775341634572946      
Cemetery Dance Publications,82 N Highway 67,marguerita.hiatt@gmail.com,925-541-8521,389500810745636      
American Diabetes Association,9 Murfreesboro Rd,ccookey@cookey.org,773-297-9391,907551394520753      
Sceptre,6 S Broadway St,jbrideau@aol.com,973-582-5469,170584209308344      
Nelson Thornes Ltd,6 Harry L Dr #6327,claribel_varriano@cox.net,419-573-2033,811854037659723      
Anchor Books/Knopf Doubleday Publishing Group,47939 Porter Ave,benton.skursky@aol.com,310-694-8466,186014294176060      
Fodor's,9 Wales Rd Ne #914,hillary.skulski@aol.com,352-990-5946,322826285940759      
Harlequin Anthologies,195 13n N,merilyn_bayless@cox.net,408-346-2180,516072599765298      
Debolsillo,99 Tank Farm Rd,tennaco@gmail.com,570-355-1665,320073081335908      
French & European Pubns,4671 Alemany Blvd,merlyn_lawler@hotmail.com,201-858-9960,398421719209227      
Limitless Corporation,98 University Dr,gmontezuma@cox.net,925-943-3449,879293379186288      
Poisoned Pen Press,50 E Wacker Dr,jmconnell@hotmail.com,908-602-5258,544761258421924      
University of Michigan Press,70 Euclid Ave #722,lemuel.latzke@gmail.com,631-291-4976,794920386174641      
Roaring Brook Press,326 E Main St #6496,mknipp@gmail.com,805-810-8964,218897912694049      
Ten Speed Press,406 Main St,candida_corbley@hotmail.com,908-943-6103,824021226350725      
Berkley Sensation,3 Elmwood Dr,karan_karpin@gmail.com,503-707-5812,640205161643546      
Ave Maria Press,9 Church St,andra@gmail.com,503-950-3068,150568036634150      
Corgi,9939 N 14th St,fpoullion@poullion.com,856-828-6021,379796527098240      
Fourth Estate,5384 Southwyck Blvd,belen_strassner@aol.com,770-802-4003,172203883326147      
SparkNotes,97 Airport Loop Dr,gracia@melnyk.com,904-627-4341,741121522693453      
AudioGO,37855 Nolan Rd,jhanafan@gmail.com,207-233-6185,990136428704803      
Random House Anchor,4252 N Washington Ave #9,barrett.toyama@toyama.org,817-577-6151,406190011605534      
Pantheon Books,42754 S Ash Ave,helga_fredicks@yahoo.com,716-854-9845,367359235812324      
Kodansha America,703 Beville Rd,apinilla@cox.net,305-857-5489,666751751285428      
Nymphenburger,5 Harrison Rd,fausto_agramonte@yahoo.com,212-778-3063,731611652747082      
Paul S. Eriksson,73 Southern Blvd,ronny.caiafa@caiafa.org,215-511-3531,821611233410673      
Phoenix Press (UK),189 Village Park Rd,marge@gmail.com,850-330-8079,371967309567260      
Norton and Co.,6 Middlegate Rd #106,norah.waymire@gmail.com,415-874-2984,319264334959295      
Sage Publications  Inc,1128 Delaware St,aliza@aol.com,408-425-1994,819379974770594      
Darton  Longman & Todd,577 Parade St,mpelkowski@pelkowski.org,650-960-1069,673071058541344      
Faber and Faber,70 Mechanic St,viola@gmail.com,818-481-5787,959966181640617      
Sleeping Bear Press,4379 Highway 116,femard@emard.com,215-483-3003,126667628801316      
Dark Horse Manga,55 Hawthorne Blvd,willodean_konopacki@konopacki.org,337-774-7564,292420910291556      
Sinauer Associates,7116 Western Ave,beckie.silvestrini@silvestrini.com,313-390-7855,372299929115745      
Island Press,2026 N Plankinton Ave #3,rgesick@gesick.org,512-693-8345,468139884068723      
Wiley-Blackwell,99586 Main St,frederica_blunk@gmail.com,214-529-1949,334353225894450      
Rufus Publications,8739 Hudson St,glen_bartolet@hotmail.com,206-389-1482,184781905784110      
Booksales,383 Gunderman Rd #197,freeman_gochal@aol.com,610-752-2683,204096777828619      
Mythopoeic Press,4441 Point Term Mkt,vincent.meinerding@hotmail.com,215-829-4221,943463443319099      
Del Rey/Ballantine Books,2972 Lafayette Ave,rima@cox.net,310-499-4200,615825166611274      
Ballantine Books (NY),2140 Diamond Blvd,gsarbacher@gmail.com,707-881-3154,940526897875437      
Lantern Books,93 Redmond Rd #492,avery@cox.net,407-945-8566,379701281245874      
Wiley (TP),3989 Portage Tr,cristy@lother.com,760-465-4762,934566240923492      
Silhouette Romance,1 Midway Rd,nicolette_brossart@brossart.com,508-504-6388,142373059633122      
Mills & Boon,77132 Coon Rapids Blvd Nw,tracey@hotmail.com,936-988-8171,324086041441015      
Metropolitan Books,755 Harbor Way,virgina_tegarden@tegarden.com,414-411-5744,822443648119031      
Quality Paperback Book Club,87 Sierra Rd,tfrankel@aol.com,626-638-4241,391504794884071      
Wilhelm Goldmann Verlag  GmbH,7667 S Hulen St #42,alaine_bergesen@cox.net,914-654-1426,550772918339263      
Lucent Books,75684 S Withlapopka Dr #32,earleen_mai@cox.net,214-785-6750,678394717518809      
Villard Books,5 Elmwood Park Blvd,leonida@gobern.org,228-432-4635,526899037824974      
Lübbe,23 Palo Alto Sq,ressie.auffrey@yahoo.com,305-287-4743,340528882432782      
Public Square Books,38062 E Main St,jmugnolo@yahoo.com,212-311-6377,516438206283135      
Drawn and Quarterly,3958 S Dupont Hwy #7,eladia@saulter.com,201-365-8698,438528527344754      
Jonathan Cape,560 Civic Center Dr,chaya@malvin.com,734-408-8174,650171124721547      
No Exit Press,3270 Dequindre Rd,gwenn_suffield@suffield.org,631-295-9879,794332630880150      
Harmony,1 Garfield Ave #7,skarpel@cox.net,330-618-2579,693597069095292      
Conari Press,9122 Carpenter Ave,yoko@fishburne.com,203-840-8634,519990884408205      
Warner Adult,48 Lenox St,taryn.moyd@hotmail.com,703-938-7939,563037686122602      
Scholastic Press,5 Little River Tpke,katina_polidori@aol.com,978-679-7429,334262768002622      
Penguin Classic,3 N Groesbeck Hwy,rickie.plumer@aol.com,419-313-5571,931042369696337      
Harpperen,37 N Elm St #916,alex@loader.com,253-875-9222,325412933240434      
Modern Library/Random House (NY),433 Westminster Blvd #590,lashon@aol.com,916-289-4526,153576235808447      
Columbia University Press,66697 Park Pl #3224,lburnard@burnard.com,307-453-7589,670421247975558      
Usborne Books,96263 Greenwood Pl,ceola.setter@setter.org,207-297-5029,386192374263467      
Hodder Audio,8 Mcarthur Ln,my@hotmail.com,215-647-2158,801742914699640      
New York: Random House,8 Fair Lawn Ave,lorrine.worlds@worlds.com,813-863-6467,809043025058810      
London : Collins  2004.,9 N 14th St,peggie@cox.net,619-695-8086,926641726110486      
HarperCollinsChildren’sBooks,9 Vanowen St,mraymo@yahoo.com,979-809-5770,219056704290735      
Lectorum Publications,18 Waterloo Geneva Rd,daron_dinos@cox.net,847-265-6609,913446371584698      
Bloomsbury Paperbacks,506 S Hacienda Dr,an_fritz@hotmail.com,609-854-7156,103085597862022      
NYRB Classics,3732 Sherman Ave,portia.stimmel@aol.com,908-670-4712,506170011454677      
Nova Fronteira,25657 Live Oak St,rhea_aredondo@cox.net,718-280-4183,463782045393933      
Andrews McMeel Publishing,4923 Carey Ave,bsama@cox.net,314-858-4832,606901941333411      
Penguin Books/Penguin Popular Classics,3196 S Rider Trl,alyce@arias.org,209-242-7022,348500691827740      
Northwestern University Press,3 Railway Ave #75,heike@gmail.com,973-822-8827,777801717665172      
Verso,87393 E Highland Rd,carey_dopico@dopico.org,317-441-5848,904485899780723      
Haymarket Books,67 E Chestnut Hill Rd,dottie@hellickson.org,206-295-5631,317276811730518      
Orion,33 Lewis Rd #46,deandrea@yahoo.com,336-467-3095,947431697076225      
HarperTrophy,8100 Jacksonville Rd #7,kimberlie_duenas@yahoo.com,785-616-1685,556643257932204      
Minnesota Heritage Publishing,7 W Wabansia Ave #227,martina_staback@staback.com,407-429-2145,348215197059836      
Thomas Y. Crowell Company,25 Minters Chapel Rd #9,skye_fillingim@yahoo.com,612-664-6304,691248813254143      
Taylor Productions Ltd,6882 Torresdale Ave,jade.farrar@yahoo.com,803-975-3405,839127956380662      
Atheneum,985 E 6th Ave,charlene.hamilton@hotmail.com,707-821-8037,448951449714240      
Orb Books,7 West Ave #1,geoffrey@gmail.com,847-556-2909,162572799442798      
Tor,26659 N 13th St,stevie.westerbeck@yahoo.com,949-903-3898,894068252563138      
Forge,669 Packerland Dr #1438,pamella@fortino.com,303-794-1341,550276659663285      
Forge Books,759 Eldora St,hhaufler@hotmail.com,203-801-8497,817750474072716      
F & W Publications Inc.,5 S Colorado Blvd #449,jengelberg@engelberg.org,425-700-3751,349895557629424      
Tor Fantasy,944 Gaither Dr,buddy.cloney@yahoo.com,440-327-2093,481559760148628      
Price Stern Sloan,66552 Malone Rd,dalene.riden@aol.com,603-745-7497,737960818978793      
Egmont Children's Books,77 Massillon Rd #822,jzurcher@zurcher.org,321-597-2159,558468325412001      
Random House for Young Readers,25346 New Rd,hdenooyer@denooyer.org,212-782-3493,702999967068557      
Random House  for Young Readers,60 Fillmore Ave,joseph_cryer@cox.net,714-698-2170,481118991590035      
Hachette,57 Haven Ave #90,deonna_kippley@hotmail.com,248-793-4966,331128657662454      
Live Oak Media,6538 E Pomona St #60,raymon.calvaresi@gmail.com,317-342-1532,926771822701539      
Griffin,6535 Joyce St,alecia@aol.com,940-302-3036,512146157827798      
Treat Enterprises,78112 Morris Ave,mlayous@hotmail.com,203-564-1543,769546093624585      
Pocket Star,96950 Hidden Ln,detra@aol.com,410-259-2118,541968093012933      
Tommy Nelson,3718 S Main St,terrilyn.rodeigues@cox.net,504-635-8518,200094652290701      
Harper & Row,9677 Commerce Dr,slacovara@gmail.com,804-858-1011,476970280063308      
HarperFestival,5 Green Pond Rd #4,garry_keetch@hotmail.com,215-846-9046,652221652895713      
Winter on the Farm (My First Little House),636 Commerce Dr #42,mneither@yahoo.com,952-906-4597,748778349697272      
Doubleday Books for Young Readers,42744 Hamann Industrial Pky #82,theodora.restrepo@restrepo.com,305-573-1085,587188868932964      
University of Massachusetts Press,1950 5th Ave,noah.kalafatis@aol.com,414-660-9766,850628294568570      
Dorling Kindersley Children,61304 N French Rd,csweigard@sweigard.com,732-445-6940,422690799849423      
DK,87 Imperial Ct #79,lavonda@cox.net,701-421-7080,908734090089332      
Disney Enterprises,94 W Dodge Rd,junita@aol.com,775-578-1214,860914247642292      
DK Children,4 58th St #3519,herminia@nicolozakes.org,602-304-6433,690648037868936      
Time Life Medical,5221 Bear Valley Rd,casie.good@aol.com,615-825-4297,111079262486373      
Eminent Lives,9648 S Main,reena@hotmail.com,410-951-2667,394490321081244      
Crossway Books,7 S San Marcos Rd,mirta_mallett@gmail.com,212-745-6948,169002721743414      
Penguin Workshop,812 S Haven St,cathrine.pontoriero@pontoriero.com,806-558-5848,817373650184383      
Michael Joseph,3882 W Congress St #799,ftawil@hotmail.com,323-842-8226,735176940539878      
Profile Books,4 E Colonial Dr,rupthegrove@yahoo.com,619-666-4765,427932098218026      
Robert Rose,45 2nd Ave #9759,sarah.candlish@gmail.com,770-531-2842,636251022319725      
Counterpoint LLC,57254 Brickell Ave #372,lucy@cox.net,508-502-5634,557738631015203      
Edimat Libros,8977 Connecticut Ave Nw #3,jaquas@aquas.com,269-431-9464,186242439734368      
Saunders,9 Waydell St,yvonne.tjepkema@hotmail.com,973-976-8627,271583834201055      
Random House Audio Publishing Group,43 Huey P Long Ave,kayleigh.lace@yahoo.com,337-751-2326,556982732099693      
J'ai Lu,7563 Cornwall Rd #4462,felix_hirpara@cox.net,717-583-1497,319549635137121      
Klincksieck,22 Bridle Ln,tresa_sweely@hotmail.com,314-231-3514,109834307504528      
Harlequin Temptation,70099 E North Ave,kristeen@gmail.com,817-947-9480,590974092061079      
Virago UK,3211 E Northeast Loop,jregusters@regusters.com,813-357-7296,128824064735429      
Longman,26 Montgomery St,renea@hotmail.com,770-930-9967,772587881522162      
Ebury Press,13252 Lighthouse Ave,olive@aol.com,760-745-2649,451196679718679      
DK Publishing,206 Main St #2804,lreiber@cox.net,517-747-7664,676767895168925      
Albert Whitman  Company,96541 W Central Blvd,christiane.eschberger@yahoo.com,602-330-6894,370566765743887      
Mondadori,34 Saint George Ave #2,goldie.schirpke@yahoo.com,207-748-3722,802932366487779      
Methuen Drama,47857 Coney Island Ave,loreta.timenez@hotmail.com,301-392-6698,548683741783765      
W.W. Norton  Company,8573 Lincoln Blvd,fabiola.hauenstein@hauenstein.org,717-344-2804,185015436472503      
Holt Paperbacks,596 Santa Maria Ave #7913,amie.perigo@yahoo.com,972-898-1033,794743030865068      
Gallimard Jeunesse,3829 Ventura Blvd,raina.brachle@brachle.org,406-374-7752,981480068180399      
HarperEntertainment,13 S Hacienda Dr,erinn.canlas@canlas.com,973-563-9502,959764993361345      
Dark Horse Comics,40 9th Ave Sw #91,cherry@lietz.com,248-697-7722,958015459371547      
Titan Books Ltd,2845 Boulder Crescent St,kattie@vonasek.org,216-270-9653,541084655340638      
Award Books,33 State St,lilli@aol.com,325-667-7868,325332559242132      
Holt McDougal,2 S 15th St,whitley.tomasulo@aol.com,817-819-7799,839091822968628      
Random House Value Publishing,4 Kohler Memorial Dr,badkin@hotmail.com,718-732-9475,923830747044022      
Little  Brown Young Readers,1 Rancho Del Mar Shopping C,hermila_thyberg@hotmail.com,401-885-7681,310148712220354      
Albury Publishing,3943 N Highland Ave,jesusita.flister@hotmail.com,717-686-7564,213971670424565      
FaithWords,5 Williams St,caitlin.julia@julia.org,401-552-9059,152692253776065      
